NOTA_FOGEP;NOTA_EI_OP_DI;NOTA_EI_OP_CII;NOTA_EI_OP_CI;NOTA_EI_OP_AIII;NOTA_ING_ECONOMICA;VECES_FOGEP;NOTA_GRADO_UNO;NOTA_GRADO_DOS;VECES_EI_OP_DI;NOTA_EI_OP_BIII;NCP_NUEVE;NOTA_GES_CAL_VAL_SOFT;NOTA_SIS_OP;VECES_EI_OP_BIII;VECES_GRADO_UNO;VECES_EI_OP_CII;NCA_NUEVE;NAC_OCHO;NAC_NUEVE;VECES_EI_OP_CI;VECES_GRADO_DOS;VECES_GES_CAL_VAL_SOFT;VECES_EI_OP_AIII;CAR_NUEVE;NCC_NUEVE;NAA_NUEVE;EPA_NUEVE;VECES_EI_OP_AII;NAP_NUEVE;VECES_SIS_OP;NOTA_EI_OP_AII;CREDITOS_GRADO_DOS;CREDITOS_EI_OP_AIII;CREDITOS_GRADO_UNO;CREDITOS_FOGEP;CREDITOS_EI_OP_DI;CREDITOS_EI_OP_CII;PROMEDIO_SIETE;PROMEDIO_TRES;PROMEDIO_CINCO;PROMEDIO_SEIS;CREDITOS_EI_OP_BIII;RENDIMIENTO_DIEZ;PROMEDIO_DIEZ
33.0;50.0;39.0;44.0;34;39.0;1;50;50;1;41.0;0.0;35.0;35.0;1;1;1;12.0;6;4;1;1;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;36.68421052631579;31.111111111666666;37.8421052631579;38.55555555555556;3;3.0;42.111111111111114
47.0;39.0;38.0;42.0;41;36.0;1;44;45;1;44.0;0.0;49.0;36.5;1;1;1;15.0;6;5;1;1;1;1;1;15.0;5;2;1;0;2;36.0;3;3;1;2;3;3;40.473684210526315;31.638888888333334;33.131578946842104;40.333333333333336;3;3.0;42.166666666666664
36.0;47.0;45.0;35.0;34;39.0;1;50;50;1;44.0;0.0;40.0;34.0;1;1;1;12.0;7;4;1;1;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;38.5;37.55555555555556;36.94736842105263;41.0;3;3.0;43.44444444444444
40.0;38.0;40.0;40.0;0;41.0;1;36;36;1;46.0;0.0;49.0;39.0;2;1;1;12.0;6;4;1;1;1;0;1;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;44.05263157894737;36.666666666666664;38.31578947368421;43.27777777777778;3;2.0;39.733333333333334
40.0;38.0;45.0;45.0;0;48.0;1;50;50;1;42.0;0.0;43.0;46.0;2;1;1;12.0;6;4;1;1;1;0;1;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;41.421052631578945;35.5;40.10526315789474;42.72222222222222;3;3.0;43.666666666666664
34.0;35.0;45.0;45.0;0;40.0;1;50;50;1;42.0;0.0;46.0;46.0;2;1;1;12.0;6;4;1;1;1;0;1;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;41.68421052631579;33.666666666666664;35.73684210526316;40.888888888888886;3;3.0;42.266666666666666
36.0;30.0;40.0;45.0;0;32.0;1;50;46;1;43.5;0.0;38.0;46.0;2;1;1;12.0;7;4;1;1;1;0;1;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;42.05263157894737;36.52777777777778;37.63157894736842;39.72222222222222;3;3.0;40.03333333333333
33.0;36.0;44.0;35.0;44;37.0;1;42;42;1;44.0;0.0;33.0;41.0;1;1;1;12.0;6;4;1;1;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;39.10526315789474;36.30555555555556;33.526315789473685;38.388888888888886;3;3.0;41.0
47.0;38.0;44.0;36.0;41;39.0;1;49;45;1;42.0;0.0;40.0;36.0;1;1;1;12.0;6;4;1;1;1;1;1;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;39.10526315789474;36.22222222222222;35.60526315789474;35.87037037;3;3.0;42.94444444444444
39.0;38.0;45.0;45.0;43;36.0;1;50;50;1;48.0;0.0;44.0;46.0;1;1;1;15.0;7;5;1;1;1;1;0;15.0;5;2;1;0;1;46.0;3;3;1;2;3;3;41.94736842105263;35.22222222222222;33.578947368421055;39.888888888888886;3;3.0;44.44444444444444
