NOTA_METODOS_NUM;NOTA_A_SISTEMAS;NOTA_MOD_PROG_UNO;NOTA_MAT_DIS;NOTA_HOMBRE;NOTA_GT_DOS;VECES_A_SISTEMAS;VECES_HOMBRE;NCC_TRES;NAA_DOS;NAA_TRES;NOTA_FUND_BASES;NAC_TRES;NCA_TRES;NOTA_PROG_AVANZADA;VECES_MAT_DIS;VECES_MAT_ESP;NCA_DOS;NOTA_SEGUNDA_LENGUA_TRES;NOTA_DIFERENCIAL;NOTA_MAT_ESP;VECES_METODOS_NUM;EPA_TRES;NCP_TRES;NOTA_TGS;VECES_MULTIVARIADO;VECES_PROG_AVANZADA;NOTA_FISICA_DOS;VECES_MOD_PROG_UNO;VECES_FUND_BASES;NOTA_SEGUNDA_LENGUA_DOS;VECES_FISICA_DOS;VECES_SEGUNDA_LENGUA_TRES;VECES_GT_DOS;CAR_TRES;NOTA_MULTIVARIADO;NOTA_EE_DOS;NOTA_ECUACIONES;NAP_TRES;NAC_DOS;VECES_TGS;CREDITOS_MOD_PROG_UNO;CREDITOS_MAT_ESP;CREDITOS_A_SISTEMAS;CREDITOS_SEGUNDA_LENGUA_TRES;CREDITOS_METODOS_NUM;CREDITOS_MAT_DIS;CREDITOS_HOMBRE;CREDITOS_GT_DOS;CREDITOS_FUND_BASES;PROMEDIO_UNO;PROMEDIO_DOS;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
38.0;40.0;44.0;35.0;46.0;50;1;1;18.0;7;4;30.0;7;9.0;35.0;1;1;16.0;33.0;22.5;30.0;1;1;9.0;35.0;3;1;22.66666667;1;1;41.0;3;1;1;3;23.0;47;24.0;3;8;1;3;3;2;2;1;3;1;1;2;34.72222222222222;35.26315789473684;2.0;37.05555555555556
36.0;37.0;40.0;34.0;0.0;0;1;0;5.0;4;1;37.0;2;3.0;35.0;1;0;10.0;0.0;22.5;0.0;1;2;2.0;27.5;0;1;0.0;1;1;0.0;0;0;0;1;0.0;0;0.0;1;6;2;3;3;2;2;1;3;1;1;2;35.333333333333336;30.3125;2.0;36.90909090909091
43.0;0.0;32.0;0.0;0.0;0;0;0;7.0;4;2;0.0;3;5.0;30.0;0;0;9.0;0.0;19.0;0.0;1;2;2.0;25.0;0;1;0.0;1;0;44.0;0;0;0;0;0.0;0;0.0;1;6;1;3;3;2;2;1;3;1;1;2;25.083333334117647;33.00000000066667;2.0;34.75
42.0;31.0;0.0;0.0;0.0;0;1;0;16.0;5;3;0.0;6;7.0;16.0;0;0;11.0;0.0;21.66666667;0.0;1;1;9.0;41.0;1;1;31.0;0;0;34.0;1;0;0;1;28.0;0;23.0;3;7;1;3;3;2;2;1;3;1;1;2;33.48039215764705;30.29411764647059;2.0;34.666666666666664
40.0;37.0;49.0;40.0;43.0;50;1;1;18.0;7;5;36.0;7;12.0;35.0;1;1;17.0;40.0;30.0;35.0;1;2;6.0;30.0;3;1;26.33333333;1;1;42.0;3;1;1;3;31.0;39;23.5;2;8;1;3;3;2;2;1;3;1;1;2;37.888888888888886;37.36842105263158;3.0;40.611111111111114
32.0;33.0;35.0;34.0;40.0;50;1;1;18.0;5;7;32.0;7;18.0;35.0;1;1;10.0;39.0;25.0;32.0;1;2;0.0;41.0;2;1;37.0;1;1;40.0;1;1;1;1;31.0;41;41.0;0;8;1;3;3;2;2;1;3;1;1;2;33.72222222222222;34.51315789473684;2.0;35.166666666666664
34.0;38.0;45.0;35.0;44.0;50;1;1;18.0;5;7;31.0;7;18.0;40.0;1;1;10.0;44.0;25.0;33.0;1;2;0.0;34.0;1;1;40.0;1;1;37.0;1;1;1;0;30.0;43;34.0;0;8;1;3;3;2;2;1;3;1;1;2;36.02777777777778;32.55263157947368;2.0;38.5
0.0;40.0;0.0;0.0;0.0;0;1;0;5.0;2;0;31.5;2;0.0;9.0;0;0;5.0;0.0;23.33333333;0.0;0;1;5.0;11.5;0;2;0.0;0;2;0.0;0;0;0;2;0.0;0;0.0;2;6;2;3;3;2;2;1;3;1;1;2;27.843137254117647;18.366666666666667;2.0;35.75
39.0;39.0;42.0;38.0;44.0;50;1;1;18.0;6;5;44.0;7;13.0;41.0;1;1;13.0;41.0;23.33333333;37.0;1;2;5.0;27.5;1;1;30.0;1;1;38.0;2;1;1;3;40.0;44;29.0;2;8;2;3;3;2;2;1;3;1;1;2;36.90740740666667;34.86842105263158;3.0;40.666666666666664
41.0;37.0;40.0;37.0;44.0;50;1;1;18.0;6;4;37.0;7;10.0;43.0;1;1;13.0;39.0;21.66666667;35.0;1;1;8.0;27.5;1;1;28.5;1;1;36.0;2;1;1;3;34.0;40;27.5;3;8;2;3;3;2;2;1;3;1;1;2;34.925925926666665;35.315789474210526;2.0;38.72222222222222
