NOTA_EI_OP_AII;NOTA_GES_CAL_VAL_SOFT;NOTA_EI_OP_CI;NOTA_SIS_OP;VECES_EI_OP_AII;VECES_SIS_OP;NOTA_ING_ECONOMICA;VECES_EI_OP_CI;NAC_OCHO;VECES_GES_CAL_VAL_SOFT;VECES_EI_OP_AI;NOTA_REDES_COM_TRES;NCC_OCHO;NOTA_EI_OP_BII;VECES_EI_OP_BII;NOTA_EI_OP_AI;VECES_EI_OP_BI;CAR_OCHO;VECES_DIS_ARQ_SOFT;NOTA_CIBERNETICA_TRES;NAP_OCHO;NOTA_DIS_ARQ_SOFT;VECES_ING_ECONOMICA;EPA_OCHO;NCP_OCHO;NCA_OCHO;NAA_OCHO;CREDITOS_EI_OP_AII;CREDITOS_EI_OP_CI;CREDITOS_EI_OP_BII;CREDITOS_SIS_OP;CREDITOS_GES_CAL_VAL_SOFT;PROMEDIO_SIETE;PROMEDIO_TRES;PROMEDIO_CINCO;PROMEDIO_SEIS;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
0.0;35.0;44.0;35.0;0;1;39.0;1;6;1;1;39.0;16.0;44.0;1;45.0;1;0;1;46.0;0;48.0;1;2;0.0;16.0;6;3;3;3;3;3;36.68421052631579;31.111111111666666;37.8421052631579;38.55555555555556;2.0;39.5
36.0;49.0;42.0;36.5;1;2;36.0;1;6;1;2;41.0;16.0;42.0;1;23.5;1;1;1;45.0;1;45.0;1;2;3.0;13.0;5;3;3;3;3;3;40.473684210526315;31.638888888333334;33.131578946842104;40.333333333333336;3.0;41.1
0.0;40.0;35.0;34.0;0;1;39.0;1;7;1;1;46.0;18.0;41.0;1;45.0;1;0;1;41.0;0;46.0;1;2;0.0;18.0;7;3;3;3;3;3;38.5;37.55555555555556;36.94736842105263;41.0;2.0;37.5
0.0;49.0;40.0;39.0;0;1;41.0;1;6;1;1;40.0;16.0;46.0;2;45.0;1;0;1;42.0;0;45.0;1;2;0.0;16.0;6;3;3;3;3;3;44.05263157894737;36.666666666666664;38.31578947368421;43.27777777777778;3.0;43.5
0.0;43.0;45.0;46.0;0;1;48.0;1;6;1;2;45.0;16.0;45.5;2;23.0;1;1;1;42.0;1;48.0;1;2;3.0;13.0;5;3;3;3;3;3;41.421052631578945;35.5;40.10526315789474;42.72222222222222;3.0;44.875
0.0;46.0;45.0;46.0;0;1;40.0;1;6;1;2;45.0;16.0;45.5;2;23.0;1;1;1;43.0;1;47.0;1;2;3.0;13.0;5;3;3;3;3;3;41.68421052631579;33.666666666666664;35.73684210526316;40.888888888888886;4.0;45.625
0.0;38.0;45.0;46.0;0;1;32.0;1;7;1;1;43.0;18.0;39.5;3;43.0;1;0;1;46.0;0;46.0;1;2;0.0;18.0;7;3;3;3;3;3;42.05263157894737;36.52777777777778;37.63157894736842;39.72222222222222;3.0;42.125
0.0;33.0;35.0;41.0;0;1;37.0;1;6;1;1;44.0;16.0;41.0;1;44.0;1;0;1;44.0;0;42.0;1;2;0.0;16.0;6;3;3;3;3;3;39.10526315789474;36.30555555555556;33.526315789473685;38.388888888888886;2.0;37.5
0.0;40.0;36.0;36.0;0;1;39.0;1;6;1;1;36.0;16.0;32.5;2;43.0;1;0;1;48.0;0;47.0;1;2;0.0;16.0;6;3;3;3;3;3;39.10526315789474;36.22222222222222;35.60526315789474;35.87037037;2.0;36.125
46.0;44.0;45.0;46.0;1;1;36.0;1;7;1;1;43.0;18.0;43.0;1;45.0;1;0;1;44.0;0;50.0;1;2;0.0;18.0;7;3;3;3;3;3;41.94736842105263;35.22222222222222;33.578947368421055;39.888888888888886;3.0;44.8
