PROMEDIO_SIETE;NOTA_FGEP;NOTA_HIST;NOTA_CCON;NOTA_L_DOS;NOTA_AIELEC;NOTA_SUBEL;VECES_SUBEL;VECES_FGEP;VECES_L_DOS;VECES_HIST;NOTA_L_UNO;RENDIMIENTO_OCHO
34;42;43;45;47;34;31;1;1;1;1;44;2
36;45;45;45;46;35;36;1;1;1;1;46;3
38;41;48;43;44;42;32;2;1;1;2;46;2
38;32;42;47;44;38;32;1;1;1;1;46;2
34;43;44;48;45;32;36;1;1;1;1;42;3
32;42;48;39;42;37;35;1;1;1;1;42;2
34;32;48;47;47;36;38;1;1;1;1;35;3
37;34;44;50;37;34;33;2;1;1;1;43;2
34;44;46;45;34;38;30;2;1;1;1;46;2
37;44;46;46;45;35;38;1;1;1;1;41;2
35;34;47;45;42;42;30;1;1;1;1;49;2
36;33;47;45;35;36;30;1;1;1;1;34;2
37;37;45;46;39;33;38;3;1;1;1;43;2
38;44;42;46;42;35;31;1;1;1;1;44;2
41;40;48;38;44;41;41;1;1;1;1;46;3
33;48;46;43;41;34;36;1;1;1;1;44;3
36;39;44;47;42;39;34;1;1;1;1;47;2
38;44;42;42;36;38;41;1;1;1;1;40;3
38;40;43;44;45;39;34;1;1;1;1;46;3
35;36;33;45;41;34;33;2;1;1;1;45;2
38;30;37;47;40;36;30;2;1;1;1;36;2
34;35;48;44;47;32;33;2;1;1;1;47;2
34;45;45;44;46;34;34;1;1;1;1;48;3
34;39;42;44;38;33;34;1;1;1;1;35;2
37;41;43;45;38;33;35;3;1;1;1;46;2
35;39;48;48;45;34;35;1;1;1;1;43;3
36;37;43;43;42;32;30;1;1;1;1;42;2
35;40;45;34;42;38;35;1;1;1;1;43;3
34;39;30;35;35;34;32;1;1;1;1;37;2
35;37;45;41;41;34;35;2;1;1;1;42;2
39;35;32;39;41;35;34;2;1;1;1;47;2
35;38;47;42;46;33;38;1;1;1;1;43;3
36;43;46;44;43;37;33;1;1;1;1;42;3
35;31;48;47;38;30;34;1;1;1;1;40;2
37;33;45;42;44;34;32;2;1;1;1;46;2
42;39;44;43;45;35;33;1;1;1;1;43;2
41;32;44;47;41;0;0;0;1;1;1;41;3
34;35;42;40;35;37;30;1;1;1;1;43;2
36;45;47;47;46;35;38;1;1;1;1;47;3
35;40;44;49;42;30;30;1;1;1;1;42;2
31;0;0;0;0;32;0;0;0;0;0;0;2
36;41;38;45;48;35;35;2;2;1;1;42;2
36;39;43;43;37;35;30;2;2;1;1;44;2
37;40;46;46;42;33;37;3;1;1;1;44;2
37;40;42;45;44;37;43;2;1;1;1;41;3
36;36;39;42;48;33;37;1;1;1;2;43;2
33;47;50;47;37;34;30;1;1;1;1;44;2
33;34;45;42;46;34;30;3;1;1;1;40;2
34;42;45;43;39;35;35;3;1;1;1;35;2
34;47;50;46;42;31;30;1;1;1;1;50;3
35;37;44;45;50;37;37;2;1;1;1;40;2
34;32;42;37;44;30;31;2;1;1;1;41;2
42;49;45;46;36;30;30;2;1;1;1;47;2
38;34;47;40;45;32;37;1;1;1;1;50;2
36;38;42;47;44;36;30;2;1;1;1;48;2
35;33;42;45;45;39;32;1;1;1;1;40;2
36;48;45;49;48;39;31;2;1;1;1;48;3
36;38;44;38;42;32;34;1;1;1;1;43;2
39;40;47;39;48;38;30;2;1;1;1;44;2
35;45;43;47;36;34;36;4;1;1;1;41;2
35;44;41;36;42;40;17;4;1;1;1;50;2
28;34;44;0;33;0;0;0;2;1;1;45;2
36;46;47;45;46;37;35;1;1;1;1;46;3
38;47;41;41;50;35;30;1;1;1;1;50;3
17;12;41;0;31;0;0;0;1;1;1;39;2
34;33;34;36;43;32;34;2;1;1;1;50;2
24;0;0;41;31;0;0;0;0;1;0;40;2
33;33;42;43;40;30;38;3;1;1;1;40;2
33;32;46;47;37;32;37;3;1;1;1;42;2
37;47;45;38;44;33;10;2;1;1;1;50;2
36;34;45;44;48;33;33;1;1;1;1;48;2
37;31;44;47;31;39;35;2;1;1;1;35;2
39;0;30;0;41;0;0;0;0;1;1;39;2
37;37;44;47;49;35;35;2;1;1;1;50;2
36;37;39;30;40;30;30;3;2;1;1;42;2
37;30;30;35;48;31;38;3;1;1;1;50;2
33;47;40;43;39;34;30;1;1;1;1;42;2
37;37;47;37;34;36;36;2;1;1;1;40;2
34;35;40;47;37;34;32;3;1;1;1;48;2
36;46;41;47;45;34;35;2;1;1;1;50;3
34;44;33;35;42;30;41;2;1;1;1;41;2
37;47;47;43;43;33;36;1;1;1;1;40;3
31;32;42;41;46;28;0;0;1;1;1;44;2
34;37;44;48;46;38;30;2;1;1;1;48;2
34;42;33;37;36;34;32;1;2;1;1;33;2
40;30;46;37;42;37;36;1;1;1;1;46;2
33;38;38;44;42;31;30;1;1;1;1;38;2
35;44;41;47;40;30;32;1;1;1;1;45;2
36;44;47;50;38;37;32;2;1;1;1;42;2
35;45;31;46;42;35;31;1;1;1;1;50;2
50;0;0;30;0;0;0;0;0;0;0;50;1
32;44;41;38;39;30;33;1;1;1;1;42;2
33;42;44;43;43;32;30;2;2;1;1;40;2
22;47;31;0;35;0;0;0;1;1;1;31;2
35;33;42;46;44;38;34;1;1;1;1;40;2
33;48;38;43;42;36;30;1;1;2;2;35;2
