iter	RMSE
0	12.65806538
1	12.2710312
2	11.90798815
3	11.56231643
4	11.24147823
5	10.93155272
6	10.64456191
7	10.37049827
8	10.10657809
9	9.855107939
10	9.622099365
11	9.405554712
12	9.206192738
13	9.011816594
14	8.829124002
15	8.658622072
16	8.500088601
17	8.359702123
18	8.226867327
19	8.091995507
20	7.970817382
21	7.859862981
22	7.74795402
23	7.642293819
24	7.548264216
25	7.446228122
26	7.366928034
27	7.281179198
28	7.196599449
29	7.131205528
30	7.07054668
31	7.007722886
32	6.942579401
33	6.889136374
34	6.831462686
35	6.780554794
36	6.732899823
37	6.688386679
38	6.653558337
39	6.612441186
40	6.576093012
41	6.532256054
42	6.505997095
43	6.478471512
44	6.448192234
45	6.421165015
46	6.397298643
47	6.369075678
48	6.340590859
49	6.315357935
50	6.294185217
51	6.276665416
52	6.246079766
53	6.223696169
54	6.198359367
55	6.172264364
56	6.14948756
57	6.131490686
58	6.119273274
59	6.100848154
60	6.089803576
61	6.076764898
62	6.060527042
63	6.045276885
64	6.034963831
65	6.024749513
66	6.012122097
67	6.003898657
68	5.994207435
69	5.981522011
70	5.973656382
71	5.965080881
72	5.955341454
73	5.940859418
74	5.924377856
75	5.918296766
76	5.910606324
77	5.898599383
78	5.890465124
79	5.883142644
80	5.874307078
81	5.862351617
82	5.85581186
83	5.850717407
84	5.840758362
85	5.835719972
86	5.829101057
87	5.824773287
88	5.816119706
89	5.8022418
90	5.798498001
91	5.793920025
92	5.775091882
93	5.762966099
94	5.751822564
95	5.744147943
96	5.738350634
97	5.730690689
98	5.721569836
99	5.712822017
100	5.705283523
101	5.700809026
102	5.693425061
103	5.687600593
104	5.680026025
105	5.665079055
106	5.658552871
107	5.650728262
108	5.644211283
109	5.637019573
110	5.626201176
111	5.614970748
112	5.61154498
113	5.599702291
114	5.594042729
115	5.589658765
116	5.582495685
117	5.576517384
118	5.568963407
119	5.563633648
120	5.557538815
121	5.552125552
122	5.542377992
123	5.536321614
124	5.531295902
125	5.521159832
126	5.516328833
127	5.512152529
128	5.505900276
129	5.499441889
130	5.491730162
131	5.483187212
132	5.472126984
133	5.464432489
134	5.460629142
135	5.4485363
136	5.444793496
137	5.438386198
138	5.434597877
139	5.430459292
140	5.422807003
141	5.417755253
142	5.415007391
143	5.411096692
144	5.407452472
145	5.40151828
146	5.393881154
147	5.391185707
148	5.387898302
149	5.38313019
150	5.375736764
151	5.368930381
152	5.363643046
153	5.357828367
154	5.354994323
155	5.352664025
156	5.348336806
157	5.342629503
158	5.341094088
159	5.335515007
160	5.331780337
161	5.328751754
162	5.325303634
163	5.321051323
164	5.317934818
165	5.314324701
166	5.307981039
167	5.304284498
168	5.297120789
169	5.29368583
170	5.29116896
171	5.278644284
172	5.27125489
173	5.269737405
174	5.266909681
175	5.259568649
176	5.256486666
177	5.253032406
178	5.250559071
179	5.240207011
180	5.237418795
181	5.234519475
182	5.23184134
183	5.228541019
184	5.224541643
185	5.217425566
186	5.212684313
187	5.207424096
188	5.203115828
189	5.199962119
190	5.19779121
191	5.195679401
192	5.193185522
193	5.190433923
194	5.188358187
195	5.177458621
196	5.173597893
197	5.171006785
198	5.167762931
199	5.163980125
200	5.160373587
201	5.153105966
202	5.150138203
203	5.148431034
204	5.145592346
205	5.142772133
206	5.1400306
207	5.13492879
208	5.132544441
209	5.131077088
210	5.128132814
211	5.127177059
212	5.124622676
213	5.12244005
214	5.120324003
215	5.114331158
216	5.110731703
217	5.108967694
218	5.106643924
219	5.101351229
220	5.091842242
221	5.089898113
222	5.086338142
223	5.081851525
224	5.077535715
225	5.073574432
226	5.0714435
227	5.06976192
228	5.057079316
229	5.055474901
230	5.046164261
231	5.042001149
232	5.037533197
233	5.032870929
234	5.029324819
235	5.020757613
236	5.012389352
237	5.007200913
238	4.996090722
239	4.995064106
240	4.989989728
241	4.985219492
242	4.980856799
243	4.977550426
244	4.9695055
245	4.966805912
246	4.963720377
247	4.952261406
248	4.948580608
249	4.945702225
250	4.939728778
251	4.934025416
252	4.927186481
253	4.925407043
254	4.917348265
255	4.909264128
256	4.901567038
257	4.897251332
258	4.894532257
259	4.893092895
260	4.890804122
261	4.888127391
262	4.878623472
263	4.874680165
264	4.867273374
265	4.861418857
266	4.859178207
267	4.857415246
268	4.852704995
269	4.842353072
270	4.838997274
271	4.835699996
272	4.825406806
273	4.823506115
274	4.820892323
275	4.819243064
276	4.818067242
277	4.813870449
278	4.804858229
279	4.800147133
280	4.796804212
281	4.795713174
282	4.793277582
283	4.787484671
284	4.785921824
285	4.782131002
286	4.777841067
287	4.774692376
288	4.773505768
289	4.766618537
290	4.763102448
291	4.761615308
292	4.758020266
293	4.756145184
294	4.746062499
295	4.740662492
296	4.738518723
297	4.736764409
298	4.735358999
299	4.734013646
300	4.72894723
301	4.723327735
302	4.722196898
303	4.713475273
304	4.711072367
305	4.708907483
306	4.702756134
307	4.700091348
308	4.696174483
309	4.694210722
310	4.687293313
311	4.683826634
312	4.675906691
313	4.673015433
314	4.668335669
315	4.664812246
316	4.658408632
317	4.652944218
318	4.643240734
319	4.640173395
320	4.633993754
321	4.628482913
322	4.622970782
323	4.616373209
324	4.615122709
325	4.612422839
326	4.61120085
327	4.609348203
328	4.602781719
329	4.593270719
330	4.588978043
331	4.5831105
332	4.582316729
333	4.578451747
334	4.577632041
335	4.576137597
336	4.575404335
337	4.573937941
338	4.571018007
339	4.566503159
340	4.56464312
341	4.560324349
342	4.558006876
343	4.552934611
344	4.549237809
345	4.545874741
346	4.544029146
347	4.54151343
348	4.540061505
349	4.539299142
350	4.533620348
351	4.530607655
352	4.52990061
353	4.51907134
354	4.513128172
355	4.506053368
356	4.499511203
357	4.49456978
358	4.483588085
359	4.482076605
360	4.479123188
361	4.471414078
362	4.469731304
363	4.467107768
364	4.459715912
365	4.454274107
366	4.449641643
367	4.441592626
368	4.440598756
369	4.439639603
370	4.433752398
371	4.427588569
372	4.426608645
373	4.418665654
374	4.415982678
375	4.412154481
376	4.407194009
377	4.398903651
378	4.392344565
379	4.385930386
380	4.381664608
381	4.377984417
382	4.372941762
383	4.372032254
384	4.366803445
385	4.362473875
386	4.354182622
387	4.353334971
388	4.343690649
389	4.339521411
390	4.3374729
391	4.333103442
392	4.332271315
393	4.325332229
394	4.322908444
395	4.322311471
396	4.317515849
397	4.31576764
398	4.312361298
399	4.311782277
400	4.302854225
401	4.301084716
402	4.298277529
403	4.296922274
404	4.295915565
405	4.294293646
406	4.287410856
407	4.281828766
408	4.281061447
409	4.276674675
410	4.275027166
411	4.27326205
412	4.270049845
413	4.269517602
414	4.264810262
415	4.262266532
416	4.254453197
417	4.247173233
418	4.24043033
419	4.236546009
420	4.232133608
421	4.223372773
422	4.221032735
423	4.21852339
424	4.21430861
425	4.210004305
426	4.205737747
427	4.20522748
428	4.200080979
429	4.19525302
430	4.194269858
431	4.193245525
432	4.189629152
433	4.189043907
434	4.185507837
435	4.184820744
436	4.18395494
437	4.179663393
438	4.171276326
439	4.167639892
440	4.161043917
441	4.157900962
442	4.153894027
443	4.149844855
444	4.14647313
445	4.13985626
446	4.134821338
447	4.128631357
448	4.126481362
449	4.125309689
450	4.120785608
451	4.120129328
452	4.117292575
453	4.112348277
454	4.110107947
455	4.106780879
456	4.101700617
457	4.096081527
458	4.094258774
459	4.086427554
460	4.081608897
461	4.075662793
462	4.07165682
463	4.06752655
464	4.065343361
465	4.057779814
466	4.054641229
467	4.046857214
468	4.042126227
469	4.036391194
470	4.03147214
471	4.02561245
472	4.022154365
473	4.018213509
474	4.017596771
475	4.013255548
476	4.011199029
477	4.005851895
478	4.003421666
479	3.999969367
480	3.99664269
481	3.992851895
482	3.990899801
483	3.981450141
484	3.978671586
485	3.973278957
486	3.970878656
487	3.969802033
488	3.966748097
489	3.965139183
490	3.957848849
491	3.950674849
492	3.948251384
493	3.944414299
494	3.939818057
495	3.938962594
496	3.935793342
497	3.932792519
498	3.926710102
499	3.924028096
500	3.922343796
501	3.91718848
502	3.913185867
503	3.908950767
504	3.907456794
505	3.902897644
506	3.899185679
507	3.894069653
508	3.89348713
509	3.889295938
510	3.885938744
511	3.883637811
512	3.878835659
513	3.877724014
514	3.874523443
515	3.869705553
516	3.868743399
517	3.863027728
518	3.860145594
519	3.854860762
520	3.853243487
521	3.846774585
522	3.843149883
523	3.837034192
524	3.834438352
525	3.833163805
526	3.832424236
527	3.828979183
528	3.825445395
529	3.82272173
530	3.820415278
531	3.81709584
532	3.81046789
533	3.806633259
534	3.801057052
535	3.793710574
536	3.787393346
537	3.780587193
538	3.774192679
539	3.770398585
540	3.764905881
541	3.762229652
542	3.757992812
543	3.753692653
544	3.753394392
545	3.749864951
546	3.747035321
547	3.744394083
548	3.737345521
549	3.731821021
550	3.727852691
551	3.725053613
552	3.722620358
553	3.720113324
554	3.719457551
555	3.717151085
556	3.713178268
557	3.710395817
558	3.703831079
559	3.700370366
560	3.699402032
561	3.69603746
562	3.693990391
563	3.687976925
564	3.686943937
565	3.683249758
566	3.6807216
567	3.676515444
568	3.673879561
569	3.671256932
570	3.666663114
571	3.66501055
572	3.662569063
573	3.660145349
574	3.657537002
575	3.656757684
576	3.654553027
577	3.650334539
578	3.64952173
579	3.646221855
580	3.644027487
581	3.642055475
582	3.638363154
583	3.634472898
584	3.62748931
585	3.624256132
586	3.621608936
587	3.620815186
588	3.613788193
589	3.610143499
590	3.609378965
591	3.606543049
592	3.602261409
593	3.597986788
594	3.59745204
595	3.593746941
596	3.589761618
597	3.586606017
598	3.583894153
599	3.582049798
600	3.579884858
601	3.577423561
602	3.57342705
603	3.571052105
604	3.570020411
605	3.566575088
606	3.56401311
607	3.560577237
608	3.558096048
609	3.554696141
610	3.552211248
611	3.549251572
612	3.546810395
613	3.544469558
614	3.541035188
615	3.538807844
616	3.535658832
617	3.532007001
618	3.529065123
619	3.52525971
620	3.523100863
621	3.521005869
622	3.517175121
623	3.511583518
624	3.508450406
625	3.505552392
626	3.500291283
627	3.499065408
628	3.494408653
629	3.493281663
630	3.489789478
631	3.486302381
632	3.484026478
633	3.4824534
634	3.478383311
635	3.475192475
636	3.471530818
637	3.46573573
638	3.464521703
639	3.461912987
640	3.459954764
641	3.458874806
642	3.456337545
643	3.453455862
644	3.44887319
645	3.447168488
646	3.444875232
647	3.441182425
648	3.438868775
649	3.437694507
650	3.43449773
651	3.430176485
652	3.4271052
653	3.423202115
654	3.417480352
655	3.416594221
656	3.415834892
657	3.413537212
658	3.411852693
659	3.409239218
660	3.407628095
661	3.405392421
662	3.400872692
663	3.398957645
664	3.396839786
665	3.39386636
666	3.390448784
667	3.387362874
668	3.385270603
669	3.383184714
670	3.381854617
671	3.380915832
672	3.377311463
673	3.373431638
674	3.371961852
675	3.36614274
676	3.363605275
677	3.359592462
678	3.358490677
679	3.356093984
680	3.355491946
681	3.35408558
682	3.351993383
683	3.348591766
684	3.344825652
685	3.34158818
686	3.339157894
687	3.335918563
688	3.333824474
689	3.332549135
690	3.32914988
691	3.326284264
692	3.325597968
693	3.322976599
694	3.318527466
695	3.318036755
696	3.316570729
697	3.314821028
698	3.312838383
699	3.311199236
700	3.307035428
701	3.30443464
702	3.302744068
703	3.302261848
704	3.301945551
705	3.301243904
706	3.297780741
707	3.294863072
708	3.292268132
709	3.289736106
710	3.285444987
711	3.284150004
712	3.281301157
713	3.280134194
714	3.277079185
715	3.274807493
716	3.274114636
717	3.267641725
718	3.264403421
719	3.263122849
720	3.260408549
721	3.259775224
722	3.25804298
723	3.252365947
724	3.251398545
725	3.248450626
726	3.246685713
727	3.24388357
728	3.242131091
729	3.241736061
730	3.237709937
731	3.234883371
732	3.230706838
733	3.227364883
734	3.223493616
735	3.22140896
736	3.219420093
737	3.21594349
738	3.214418354
739	3.213337258
740	3.213090117
741	3.210200937
742	3.20764545
743	3.203708574
744	3.200914016
745	3.197560878
746	3.195221123
747	3.190281158
748	3.185014171
749	3.18277073
750	3.18119938
751	3.179949652
752	3.175814667
753	3.1729205
754	3.171613369
755	3.170965815
756	3.168924605
757	3.168021659
758	3.167422077
759	3.164956476
760	3.16175438
761	3.159781891
762	3.158503349
763	3.158324239
764	3.15814611
765	3.155850008
766	3.152793608
767	3.151582435
768	3.148162228
769	3.14766464
770	3.145120942
771	3.141799146
772	3.136424795
773	3.134302017
774	3.13316749
775	3.131732423
776	3.127693193
777	3.125801338
778	3.121290065
779	3.116936924
780	3.114876772
781	3.113257712
782	3.107934821
783	3.105126469
784	3.099967657
785	3.098518088
786	3.094625334
787	3.091956212
788	3.090952277
789	3.088181699
790	3.086265156
791	3.084022879
792	3.082174311
793	3.079753718
794	3.076831718
795	3.07210681
796	3.069220413
797	3.066816643
798	3.065204871
799	3.062875531
800	3.062426855
801	3.060690356
802	3.057486291
803	3.056421364
804	3.054689339
805	3.053242427
806	3.05031956
807	3.046302014
808	3.045468121
809	3.043208298
810	3.039652185
811	3.037681085
812	3.035514765
813	3.033268718
814	3.031880802
815	3.028066132
816	3.027025432
817	3.026288147
818	3.024134345
819	3.022796104
820	3.021796371
821	3.019725352
822	3.017738759
823	3.01416887
824	3.009958983
825	3.009386485
826	3.007120495
827	3.006005204
828	3.005364652
829	3.002996335
830	3.002080941
831	3.001778949
832	3.000703761
833	2.996498032
834	2.994874321
835	2.994245252
836	2.990967477
837	2.988557489
838	2.986612383
839	2.985523188
840	2.98499185
841	2.98172481
842	2.978985102
843	2.975788025
844	2.974456558
845	2.973901653
846	2.97209928
847	2.969962621
848	2.967983104
849	2.966716454
850	2.96639594
851	2.965387421
852	2.963563574
853	2.960729034
854	2.959792877
855	2.957948193
856	2.95639595
857	2.955970551
858	2.954262259
859	2.953979371
860	2.951231957
861	2.948437692
862	2.944267263
863	2.942467507
864	2.940920236
865	2.939084185
866	2.934746395
867	2.933482536
868	2.932316292
869	2.928967663
870	2.928389812
871	2.927601786
872	2.927240804
873	2.92493504
874	2.922227871
875	2.920365891
876	2.919288926
877	2.91472768
878	2.911445034
879	2.909488333
880	2.905565207
881	2.903090894
882	2.902216873
883	2.900174505
884	2.896559572
885	2.891956711
886	2.891730679
887	2.888158611
888	2.887268186
