iter	Passed	Remaining
0	2	2225
1	4	2186
2	6	2212
3	9	2261
4	11	2260
5	13	2223
6	15	2175
7	17	2138
8	19	2100
9	20	2065
10	23	2088
11	25	2077
12	27	2063
13	28	2039
14	30	2023
15	32	2019
16	34	2006
17	36	2014
18	39	2026
19	41	2016
20	43	2014
21	45	2006
22	47	1999
23	48	1992
24	50	1986
25	52	1980
26	54	1971
27	56	1968
28	58	1956
29	60	1945
30	61	1937
31	63	1927
32	65	1925
33	68	1934
34	70	1931
35	71	1926
36	73	1920
37	75	1917
38	77	1910
39	79	1901
40	81	1895
41	82	1887
42	84	1883
43	86	1879
44	88	1874
45	89	1866
46	91	1858
47	93	1851
48	95	1846
49	96	1839
50	98	1834
51	100	1831
52	102	1829
53	104	1833
54	106	1829
55	108	1826
56	110	1823
57	111	1817
58	113	1814
59	115	1815
60	117	1812
61	119	1807
62	121	1802
63	122	1796
64	124	1797
65	126	1791
66	128	1786
67	129	1779
68	131	1776
69	133	1776
70	135	1771
71	137	1768
72	138	1764
73	140	1761
74	142	1763
75	144	1761
76	146	1756
77	148	1754
78	150	1750
79	151	1746
80	153	1743
81	155	1739
82	156	1734
83	158	1729
84	160	1725
85	161	1721
86	163	1720
87	165	1716
88	167	1711
89	169	1708
90	170	1704
91	172	1701
92	174	1697
93	175	1693
94	177	1688
95	179	1686
96	180	1682
97	182	1678
98	183	1673
99	185	1670
100	187	1666
101	188	1661
102	190	1659
103	192	1654
104	193	1650
105	195	1649
106	197	1645
107	198	1643
108	200	1640
109	202	1639
110	204	1635
111	205	1632
112	207	1628
113	209	1625
114	211	1624
115	212	1620
116	214	1617
117	216	1614
118	217	1611
119	219	1608
120	220	1605
121	222	1601
122	224	1599
123	226	1597
124	228	1596
125	229	1593
126	231	1590
127	233	1587
128	234	1584
129	236	1580
130	237	1577
131	239	1574
132	241	1571
133	242	1569
134	244	1566
135	246	1563
136	247	1560
137	249	1557
138	250	1554
139	252	1551
140	254	1547
141	255	1544
142	257	1542
143	259	1539
144	260	1537
145	262	1534
146	264	1531
147	265	1528
148	267	1525
149	268	1522
150	270	1519
151	271	1517
152	273	1515
153	275	1512
154	277	1510
155	278	1507
156	280	1504
157	281	1501
158	283	1498
159	284	1496
160	286	1494
161	288	1492
162	290	1489
163	292	1488
164	293	1486
165	295	1485
166	297	1482
167	298	1480
168	300	1478
169	302	1475
170	304	1473
171	305	1471
172	307	1468
173	308	1464
174	310	1462
175	311	1459
176	313	1457
177	315	1454
178	316	1452
179	318	1450
180	320	1449
181	322	1447
182	323	1445
183	325	1444
184	327	1442
185	329	1440
186	330	1437
187	332	1435
188	333	1433
189	335	1431
190	337	1429
191	339	1427
192	340	1424
193	342	1422
194	344	1420
195	346	1419
196	347	1417
197	349	1415
198	351	1412
199	352	1411
200	354	1409
201	356	1407
202	357	1404
203	359	1402
204	361	1400
205	362	1398
206	364	1396
207	366	1396
208	368	1394
209	370	1392
210	372	1391
211	373	1389
212	375	1387
213	377	1385
214	378	1382
215	380	1380
216	382	1379
217	383	1377
