PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;IDIOMA_ICFES;LOCALIDAD;RENDIMIENTO_UNO
419;65;60;66;75;20;2
425;72;65;55;65;15;2
425;76;60;59;50;9;2
454;79;62;65;83;10;2
523;99;69;78;60;1;2
528;88;69;78;75;19;2
478;78;69;66;69;8;2
505;74;75;72;75;11;2
491;74;66;66;73;9;2
482;75;66;75;66;11;2
498;63;66;93;77;8;2
447;78;60;75;61;7;2
478;78;69;59;58;10;2
466;71;79;61;60;8;2
516;75;66;93;60;4;2
442;63;66;54;50;19;2
484;83;57;75;75;8;2
492;78;69;69;68;8;2
468;72;82;59;67;19;2
525;79;69;93;68;11;2
498;66;86;75;79;13;2
480;66;73;69;55;10;2
496;71;63;72;77;9;2
358;58;53;54;48;8;1
489;72;63;69;75;11;2
488;72;69;78;77;19;2
455;71;76;69;94;11;2
478;68;82;59;68;4;2
491;71;73;82;73;16;2
491;78;63;82;79;8;2
506;78;75;93;85;15;2
477;78;69;78;66;10;2
508;74;66;69;68;4;2
473;83;69;66;59;8;2
490;74;66;66;58;19;2
468;89;69;66;48;9;2
504;88;66;78;61;8;2
428;63;66;54;50;10;2
474;74;69;72;70;12;2
496;79;69;86;52;10;2
486;78;66;66;47;16;2
491;79;73;75;88;20;2
491;78;69;87;73;11;2
518;75;69;86;79;8;2
500;68;73;82;58;18;2
516;79;69;82;89;10;2
494;74;73;75;81;8;2
427;63;57;59;66;8;2
485;68;79;75;88;5;2
474;69;76;69;50;6;2
471;75;76;63;50;7;2
523;88;76;69;88;11;2
489;60;72;66;79;11;2
480;78;63;63;63;14;2
517;82;86;82;62;7;2
480;65;76;66;85;4;2
478;68;73;78;61;8;2
492;98;63;63;62;10;2
464;69;79;75;77;10;2
466;69;75;66;51;4;2
480;69;69;82;55;17;2
472;78;69;64;68;9;2
507;79;60;75;66;10;2
474;98;66;66;65;20;2
492;75;66;72;75;4;2
518;65;75;61;61;9;2
544;89;69;82;71;18;2
475;69;73;71;53;6;2
514;79;63;87;56;10;2
490;66;72;78;65;16;2
475;83;72;66;64;8;2
492;75;63;61;65;10;2
486;82;66;75;69;18;2
504;78;66;86;59;5;2
491;78;60;75;82;1;2
462;75;75;69;71;16;2
492;72;76;69;68;10;2
523;82;72;103;77;16;2
489;63;73;71;85;1;2
475;82;66;72;65;7;2
478;69;69;78;85;16;2
489;71;69;75;81;9;2
475;71;66;75;71;16;2
481;79;60;66;55;5;2
490;79;60;69;64;11;2
466;75;69;61;57;7;2
478;63;73;86;77;1;2
447;77;55;56;62;11;2
439;64;61;66;89;16;2
429;76;55;66;79;14;2
440;79;49;57;64;19;2
429;69;56;68;79;19;2
413;74;59;63;75;8;2
429;62;63;60;57;8;2
425;73;57;53;77;20;2
438;64;61;66;59;8;2
412;67;59;61;63;8;2
421;69;56;55;64;10;2
431;64;58;59;72;9;2
413;74;54;57;55;11;2
415;67;59;59;59;15;2
416;79;52;59;81;3;2
407;60;59;66;46;4;1
410;79;49;61;53;6;2
420;67;54;63;71;15;2
411;70;56;52;58;7;2
405;67;59;61;66;10;2
414;66;54;61;62;18;2
406;69;54;52;77;8;2
398;60;66;54;40;20;2
385;69;58;52;55;20;2
418;64;54;63;79;11;2
430;61;52;76;58;4;2
411;67;56;63;53;19;2
403;74;52;63;68;18;2
384;84;49;48;60;8;2
392;60;67;59;75;9;2
427;63;52;66;64;10;2
407;66;54;53;55;7;2
403;79;52;55;79;8;2
399;73;50;59;56;8;2
399;63;57;51;77;12;2
394;64;61;57;65;11;2
401;60;59;57;59;8;2
405;62;54;55;58;7;2
383;70;60;54;83;11;2
398;73;49;54;85;11;2
422;60;54;55;75;4;2
404;63;57;57;49;10;2
403;64;57;54;72;11;2
403;60;56;61;60;1;2
401;66;56;52;60;10;2
416;58;56;63;54;7;1
399;60;57;53;60;11;2
404;78;54;59;41;9;2
401;47;56;61;75;10;2
395;55;54;59;66;8;2
473;101;60;59;50;14;2
491;86;59;74;49;8;2
469;85;70;50;53;20;2
474;86;59;62;83;14;2
461;76;68;62;52;11;2
455;86;63;58;63;9;2
435;102;59;58;55;9;2
444;86;69;52;53;7;2
453;69;68;67;60;9;2
457;86;59;67;56;10;2
447;86;63;50;56;12;2
454;75;60;67;60;1;2
452;85;60;63;74;1;2
456;60;69;58;53;16;2
450;68;65;53;58;16;2
442;64;75;67;55;9;2
462;64;69;55;43;4;2
467;63;60;53;74;8;2
458;85;52;59;50;12;2
450;76;59;62;53;4;2
462;75;60;63;60;11;2
431;76;69;74;63;11;2
446;76;63;58;53;5;2
449;76;59;59;55;10;2
428;85;60;56;60;8;2
447;85;52;56;60;18;2
442;76;63;62;55;1;2
423;85;60;75;60;8;2
433;75;65;56;47;10;2
466;64;55;52;56;10;2
439;85;52;56;63;10;2
450;85;60;47;56;14;2
456;63;65;56;63;12;2
426;85;60;59;52;8;2
432;76;63;52;56;8;2
447;69;63;67;53;11;2
439;86;59;55;47;19;2
449;59;70;56;60;8;2
427;68;70;59;47;6;1
451;69;63;59;60;18;2
444;86;55;52;52;18;2
461;86;47;58;50;10;2
455;75;60;53;63;10;2
452;63;65;63;80;10;2
422;59;76;59;60;10;2
433;75;60;63;55;11;2
438;64;69;58;55;5;2
395;76;75;58;60;20;2
429;69;68;67;49;4;1
426;86;55;58;43;11;2
417;64;75;52;43;10;2
446;69;63;55;56;7;2
418;85;56;59;53;7;2
423;86;55;49;50;7;2
458;63;60;56;50;8;2
446;76;59;59;52;11;2
461;68;60;53;61;10;2
453;64;59;74;66;10;2
441;63;60;56;80;19;2
387;86;63;52;66;11;2
431;69;69;55;49;18;1
417;75;65;47;43;7;2
431;69;69;55;47;11;1
430;64;63;55;58;11;2
427;76;59;55;50;4;2
432;76;59;50;43;8;2
401;64;68;67;83;13;2
427;63;70;56;52;10;2
415;76;63;55;49;8;2
434;75;56;63;49;19;2
431;69;59;55;63;10;2
448;68;56;56;45;4;2
419;60;75;55;60;16;2
431;64;63;50;66;9;2
446;75;52;63;60;9;2
437;63;60;50;45;7;2
417;75;60;56;52;5;2
433;68;60;56;58;18;2
428;86;51;52;50;9;2
396;64;59;55;68;8;2
429;51;48;48;45;8;1
350;47;49;52;66;18;1
427;63;45;47;66;17;2
447;75;60;63;61;5;2
431;75;56;56;58;10;2
457;69;47;55;47;18;2
430;59;56;56;58;1;2
461;76;63;62;55;11;2
464;63;65;63;52;1;2
442;69;68;55;56;19;2
436;69;69;55;60;10;2
441;75;60;53;50;4;2
427;69;69;49;60;8;2
445;75;56;56;74;4;2
432;76;59;50;53;10;2
443;64;63;55;63;7;2
440;68;65;68;53;10;2
429;69;69;56;43;4;2
450;68;60;50;55;6;2
443;60;59;62;50;10;1
410;64;69;46;58;4;2
424;69;63;55;39;19;2
421;63;60;59;45;5;2
398;86;55;52;41;19;2
403;86;59;44;43;10;2
442;64;59;55;71;5;2
425;75;60;53;71;13;2
408;68;65;56;53;12;2
431;69;55;49;60;7;2
416;76;59;58;68;11;2
419;69;63;59;52;1;2
413;68;65;63;50;8;2
427;77;53;67;56;10;2
408;85;56;50;41;16;2
407;76;59;52;53;8;2
402;75;60;59;68;10;2
429;64;59;52;43;18;2
415;69;59;59;55;10;2
413;75;60;53;55;11;2
431;75;49;56;49;10;2
405;69;68;47;50;19;2
392;69;69;44;52;8;2
410;69;63;50;52;14;2
413;75;56;56;83;1;2
402;64;69;52;45;20;2
412;75;56;50;45;8;2
454;59;52;56;49;8;1
426;69;55;55;49;9;2
415;63;65;44;58;8;2
418;60;63;50;47;19;1
405;76;55;59;53;8;2
409;75;56;56;52;11;2
428;64;59;52;52;8;2
425;76;51;52;63;10;2
442;63;52;68;71;8;2
432;63;60;59;56;18;2
429;68;52;59;74;16;2
411;69;59;55;47;19;2
424;55;65;63;52;11;1
416;59;65;44;56;3;2
409;68;60;56;53;8;2
386;76;59;52;50;5;2
424;55;65;50;61;19;2
384;52;52;63;70;19;1
387;55;52;48;94;7;1
413;55;49;50;47;10;1
422;55;60;59;43;11;1
401;63;52;50;52;5;2
409;55;56;53;58;18;1
388;61;58;57;52;5;2
377;64;47;52;45;11;2
479;108;61;68;70;9;2
464;77;78;73;68;19;2
471;85;67;61;75;10;2
460;77;70;61;65;16;2
459;80;70;55;72;16;2
467;91;52;62;61;19;2
452;80;67;61;65;9;2
441;85;67;61;50;6;2
461;91;53;61;80;10;2
442;90;62;64;70;11;2
446;80;67;61;77;11;2
449;76;67;66;59;1;2
450;81;64;60;75;9;2
421;90;66;53;58;8;2
450;74;67;67;65;10;2
419;90;70;54;55;8;2
452;73;70;55;70;10;2
426;90;59;54;56;7;2
452;73;65;64;75;10;2
451;64;65;67;65;11;2
449;70;65;67;83;12;2
426;90;55;61;61;16;2
435;85;57;60;70;13;2
435;76;65;67;51;7;2
439;80;57;61;68;10;2
435;81;61;58;68;4;2
425;74;67;59;68;12;2
447;70;62;61;70;19;2
423;80;65;61;80;11;2
443;74;60;64;55;11;2
447;70;67;57;50;20;2
432;84;61;62;61;14;2
444;76;57;67;75;11;2
441;77;61;69;51;8;2
436;85;54;62;94;9;2
435;74;67;59;63;11;2
451;67;64;65;83;11;2
437;74;62;57;56;19;2
429;77;62;59;68;8;2
429;90;52;58;50;8;2
439;77;61;56;57;11;2
