PROMEDIO_SEIS;PROMEDIO_SIETE;PROMEDIO_OCHO;NOTA_CALIDAD_DOS;PROMEDIO_NUEVE;NAA_NUEVE;NOTA_GRADO_UNO;NOTA_LOG_DOS;NOTA_FINANZAS;NOTA_HISTORIA;RENDIMIENTO_DIEZ
0;0;0;0;0;0;0;0;0;0;2
32;33;30;29;34;6;0;31;30;0;3
9;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
35;36;38;33;35;6;0;32;31;0;3
38;39;40;39;38;6;0;34;35;0;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
36;40;37;38;40;5;0;34;27;0;3
34;39;38;42;36;5;0;31;30;0;3
33;37;35;41;35;5;0;31;31;0;3
35;38;31;30;34;5;0;32;23;0;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
42;43;45;47;40;6;0;39;35;0;3
36;39;34;41;38;5;0;38;30;0;3
0;0;0;0;0;0;0;0;0;0;2
32;38;34;31;36;6;0;33;30;0;3
26;40;0;0;0;0;0;0;0;0;2
36;40;41;42;39;6;0;38;35;0;3
32;37;34;32;37;6;0;40;30;0;3
35;15;0;0;0;0;0;0;0;0;2
36;36;41;38;39;6;0;42;30;0;3
27;31;15;14;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
32;36;30;40;36;6;0;35;30;0;3
33;32;35;30;32;5;0;32;35;0;3
36;39;42;38;37;6;0;36;30;0;3
0;0;0;0;0;0;0;0;0;0;2
36;32;32;31;37;4;0;41;25;0;3
35;40;37;37;35;5;0;37;30;0;3
34;34;35;37;36;5;0;39;25;0;3
16;30;0;0;0;0;0;0;0;0;2
30;36;25;26;31;4;0;18;35;0;3
31;35;34;42;32;4;0;44;20;0;3
35;35;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
35;37;32;37;35;5;0;31;30;0;3
37;41;38;43;38;6;0;38;30;0;3
35;38;31;32;36;5;0;36;28;0;3
32;31;36;38;38;6;0;37;30;0;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
33;37;36;32;36;5;0;39;29;0;3
37;40;35;39;38;4;0;28;28;0;3
35;37;40;44;39;6;0;31;30;0;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;15;0;0;15;0;0;0;15;0;2
0;0;0;0;0;0;0;0;0;0;2
33;40;35;35;36;6;0;37;32;0;3
38;42;38;41;39;6;0;34;40;0;3
32;37;30;30;33;4;0;35;24;0;3
33;39;34;32;39;5;0;42;23;0;3
34;37;33;31;37;6;0;43;30;0;3
36;43;37;43;39;6;0;30;35;0;3
36;38;39;40;37;5;0;33;29;0;3
12;45;0;0;0;0;0;0;0;0;2
34;35;35;38;34;5;0;36;30;0;3
33;37;34;34;35;5;0;36;25;0;3
37;41;42;42;34;5;0;36;35;0;3
33;31;20;30;29;3;0;35;23;0;3
38;39;32;31;34;5;0;31;27;0;3
32;36;40;41;34;6;0;32;30;0;3
33;38;39;41;42;6;0;43;35;0;3
0;15;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
31;35;29;39;32;5;0;41;30;0;3
0;0;0;0;0;0;0;0;0;0;2
15;0;0;0;0;0;0;0;0;0;2
30;35;0;0;0;0;0;0;0;0;2
35;38;31;32;35;6;0;38;30;0;3
33;35;25;22;30;3;0;21;30;0;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
31;40;38;46;36;5;0;35;25;0;3
31;39;36;36;39;6;0;39;30;0;3
0;0;0;0;0;0;0;0;0;0;2
32;35;35;45;33;5;0;37;30;0;3
35;40;40;33;37;4;0;30;24;0;3
0;0;0;0;0;0;0;0;0;0;2
33;40;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
33;38;32;38;37;5;0;38;30;0;3
35;37;36;32;36;5;0;33;27;0;3
0;40;0;0;0;0;0;0;0;0;2
32;37;34;35;35;5;0;32;30;0;3
35;42;33;33;32;5;0;31;30;0;3
34;40;44;48;39;6;0;41;35;0;3
33;34;31;37;36;5;0;32;25;0;3
0;0;0;0;0;0;0;0;0;0;2
0;50;0;0;0;0;0;0;0;0;2
31;33;29;30;34;6;0;32;30;0;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
35;38;39;37;38;5;0;36;24;0;3
0;0;0;0;0;0;0;0;0;0;2
31;36;27;31;33;4;0;35;26;0;3
0;0;0;0;0;0;0;0;0;0;2
34;37;31;30;32;5;0;33;26;0;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
34;34;29;30;32;4;0;27;30;0;3
0;0;0;0;0;0;0;0;0;0;2
31;35;35;35;36;4;0;40;24;0;3
31;34;34;35;36;5;0;36;30;0;3
0;0;0;0;0;0;0;0;0;0;2
33;33;34;34;33;5;0;30;21;0;3
0;0;0;0;0;0;0;0;0;0;2
39;38;36;41;36;5;0;19;30;0;3
34;41;40;45;40;6;0;32;35;0;3
0;0;0;0;0;0;0;0;0;0;2
12;40;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
