PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO
419;65;60;66;75;20;23.32208248231777
425;72;65;55;65;15;24.791140339741872
425;76;60;59;50;9;23.187265325491325
454;79;62;65;83;10;24.039209955039464
523;99;69;78;60;1;24.196298581167106
528;88;69;78;75;19;24.818177012639538
478;78;69;66;69;8;23.877363943018167
505;74;75;72;75;11;24.564368747041986
491;74;66;66;73;9;23.931430158586995
482;75;66;75;66;11;25.844779568381636
498;63;66;93;77;8;25.26782175923115
447;78;60;75;61;7;25.492381500903896
478;78;69;59;58;10;23.644068033334023
466;71;79;61;60;8;23.408083192181756
516;75;66;93;60;4;23.774080195993257
442;63;66;54;50;19;22.94769790732586
484;83;57;75;75;8;25.33774267254644
492;78;69;69;68;8;26.222409138495983
468;72;82;59;67;19;23.227619060699585
525;79;69;93;68;11;24.992114897561137
498;66;86;75;79;13;25.099948111675836
480;66;73;69;55;10;24.83210602389488
496;71;63;72;77;9;25.91547238724353
358;58;53;54;48;8;21.883176854752357
489;72;63;69;75;11;24.992432974785743
488;72;69;78;77;19;26.795837439474518
455;71;76;69;94;11;25.908669735921404
478;68;82;59;68;4;23.58305176969572
491;71;73;82;73;16;23.82047397199317
491;78;63;82;79;8;25.589260886379073
506;78;75;93;85;15;25.068320057131807
477;78;69;78;66;10;26.482083291083498
508;74;66;69;68;4;24.466996551035137
473;83;69;66;59;8;23.181566891066957
490;74;66;66;58;19;23.67715237659921
468;89;69;66;48;9;24.056733470145105
504;88;66;78;61;8;24.895314275690147
428;63;66;54;50;10;22.436402501181973
474;74;69;72;70;12;26.6561634810724
496;79;69;86;52;10;25.150062618720742
486;78;66;66;47;16;22.767037821206912
491;79;73;75;88;20;25.18444025430114
491;78;69;87;73;11;25.87895150560551
518;75;69;86;79;8;26.595610119967375
500;68;73;82;58;18;22.609961190673538
516;79;69;82;89;10;26.21746730765258
494;74;73;75;81;8;25.662526207598965
427;63;57;59;66;8;22.476395509526462
485;68;79;75;88;5;25.404522095978116
474;69;76;69;50;6;23.903078718871946
471;75;76;63;50;7;22.865290095233792
523;88;76;69;88;11;25.97772112877197
489;60;72;66;79;11;24.561149222960246
480;78;63;63;63;14;24.00916130485974
517;82;86;82;62;7;23.731244871718296
480;65;76;66;85;4;24.652954831831423
478;68;73;78;61;8;24.367957034396518
492;98;63;63;62;10;24.957109383103166
464;69;79;75;77;10;24.91904636052616
466;69;75;66;51;4;22.986018103341927
480;69;69;82;55;17;25.72733282478285
472;78;69;64;68;9;23.544128950960584
507;79;60;75;66;10;25.41264011731036
474;98;66;66;65;20;24.93690890239761
492;75;66;72;75;4;24.7951577130676
518;65;75;61;61;9;24.209281867418674
544;89;69;82;71;18;24.15411584407144
475;69;73;71;53;6;23.98327908461082
514;79;63;87;56;10;24.536883298730608
490;66;72;78;65;16;23.7273515177906
475;83;72;66;64;8;23.144367193197443
492;75;63;61;65;10;24.095614564716286
486;82;66;75;69;18;26.427974485844814
504;78;66;86;59;5;24.447148706270752
491;78;60;75;82;1;25.482654396944632
462;75;75;69;71;16;25.413925365327383
492;72;76;69;68;10;24.258024804873546
523;82;72;103;77;16;23.698228504828027
489;63;73;71;85;1;25.126002456797305
475;82;66;72;65;7;25.743472351905755
478;69;69;78;85;16;27.687063550747766
489;71;69;75;81;9;26.47199827616296
475;71;66;75;71;16;26.804794646604677
481;79;60;66;55;5;23.454855926321553
490;79;60;69;64;11;24.407237948794343
466;75;69;61;57;7;23.517720640625914
478;63;73;86;77;1;25.3121454886762
447;77;55;56;62;11;25.969037648988927
439;64;61;66;89;16;24.359444437624028
429;76;55;66;79;14;23.169184972316266
440;79;49;57;64;19;25.931697217363137
429;69;56;68;79;19;23.173134289485628
413;74;59;63;75;8;24.238201480766257
429;62;63;60;57;8;22.406884090984374
425;73;57;53;77;20;23.03625694304759
438;64;61;66;59;8;22.704894419686294
412;67;59;61;63;8;24.414455647192923
421;69;56;55;64;10;25.41981668150612
431;64;58;59;72;9;21.980249386746358
413;74;54;57;55;11;23.355720142469515
415;67;59;59;59;15;24.59113746627331
416;79;52;59;81;3;24.223787241713932
407;60;59;66;46;4;23.8029910629741
410;79;49;61;53;6;23.109490792677065
420;67;54;63;71;15;23.335713768830463
411;70;56;52;58;7;25.140435928585884
405;67;59;61;66;10;25.464959341147733
414;66;54;61;62;18;25.261376731123395
406;69;54;52;77;8;27.08495790881654
398;60;66;54;40;20;24.499622530884277
385;69;58;52;55;20;21.80703773409983
418;64;54;63;79;11;21.768048530935566
430;61;52;76;58;4;23.61841643262938
411;67;56;63;53;19;24.747875833420878
403;74;52;63;68;18;26.273910865889988
384;84;49;48;60;8;23.03298540505341
392;60;67;59;75;9;24.44904070258434
427;63;52;66;64;10;23.03009434286882
407;66;54;53;55;7;26.594910469672428
403;79;52;55;79;8;26.600908638783178
399;73;50;59;56;8;25.025704411867196
399;63;57;51;77;12;25.476625128808326
394;64;61;57;65;11;25.046324443511097
401;60;59;57;59;8;23.71820047429305
405;62;54;55;58;7;24.27196428854264
383;70;60;54;83;11;24.07143998111284
398;73;49;54;85;11;27.116007730337444
422;60;54;55;75;4;21.83628492873775
404;63;57;57;49;10;24.078049583893026
403;64;57;54;72;11;26.051497590140297
403;60;56;61;60;1;24.47134335481612
401;66;56;52;60;10;25.98347703403011
416;58;56;63;54;7;22.369499859864067
399;60;57;53;60;11;23.546328075607107
404;78;54;59;41;9;23.143346166639834
401;47;56;61;75;10;23.72366380610999
395;55;54;59;66;8;24.221451886301637
473;101;60;59;50;14;25.571059557149873
491;86;59;74;49;8;24.414337674414305
469;85;70;50;53;20;24.333408893416514
474;86;59;62;83;14;23.665362309493702
461;76;68;62;52;11;23.644297501577604
455;86;63;58;63;9;24.069242188667026
435;102;59;58;55;9;26.531826320025345
444;86;69;52;53;7;23.438250605436185
453;69;68;67;60;9;24.5730250846703
457;86;59;67;56;10;23.604697057695144
447;86;63;50;56;12;24.146432103226914
454;75;60;67;60;1;25.311275213433277
452;85;60;63;74;1;23.536825208240217
456;60;69;58;53;16;22.84868137009785
450;68;65;53;58;16;24.81895906688863
442;64;75;67;55;9;23.62297245055578
462;64;69;55;43;4;22.917812154199375
467;63;60;53;74;8;23.542300238732295
458;85;52;59;50;12;24.63200552377924
450;76;59;62;53;4;23.978098539055722
462;75;60;63;60;11;24.49130150904634
431;76;69;74;63;11;25.81870068755706
446;76;63;58;53;5;23.46825710734758
449;76;59;59;55;10;23.921041344348538
428;85;60;56;60;8;22.59487606184161
447;85;52;56;60;18;25.277078082244746
442;76;63;62;55;1;24.269961165218035
423;85;60;75;60;8;25.312266657182942
433;75;65;56;47;10;22.620671882105626
466;64;55;52;56;10;22.791058123935073
439;85;52;56;63;10;25.317587733531496
450;85;60;47;56;14;24.555686556893846
456;63;65;56;63;12;24.41234125360883
426;85;60;59;52;8;22.639640684105103
432;76;63;52;56;8;23.70026390373728
447;69;63;67;53;11;23.340890210043185
439;86;59;55;47;19;24.546487266774236
449;59;70;56;60;8;23.587605043958447
427;68;70;59;47;6;23.309749001229225
451;69;63;59;60;18;24.525670890257402
444;86;55;52;52;18;25.864590760637792
461;86;47;58;50;10;24.674688334583493
455;75;60;53;63;10;25.55148508560051
452;63;65;63;80;10;23.908445662099098
422;59;76;59;60;10;23.00734993858765
433;75;60;63;55;11;23.63383480298379
438;64;69;58;55;5;21.69096547223821
395;76;75;58;60;20;24.962138026313905
429;69;68;67;49;4;23.029397951728058
426;86;55;58;43;11;23.246979974755313
417;64;75;52;43;10;23.597989324521965
446;69;63;55;56;7;23.773021246676333
418;85;56;59;53;7;23.60719227958149
423;86;55;49;50;7;24.213732303596963
458;63;60;56;50;8;23.355082035239562
446;76;59;59;52;11;23.471135386129152
461;68;60;53;61;10;24.938776219434097
453;64;59;74;66;10;25.622111951254507
441;63;60;56;80;19;23.38567744451094
387;86;63;52;66;11;22.405192064742486
431;69;69;55;49;18;23.994552513355263
417;75;65;47;43;7;22.101676865103546
431;69;69;55;47;11;23.32296472531457
430;64;63;55;58;11;22.939225016352538
427;76;59;55;50;4;23.459675165005507
432;76;59;50;43;8;22.491065774639253
401;64;68;67;83;13;25.921713946803322
427;63;70;56;52;10;23.175007476951514
415;76;63;55;49;8;23.140035805521013
434;75;56;63;49;19;24.259084346099563
431;69;59;55;63;10;24.31891946652954
448;68;56;56;45;4;23.436862941964392
419;60;75;55;60;16;23.592805811356282
431;64;63;50;66;9;22.73546730100339
446;75;52;63;60;9;25.510793579567068
437;63;60;50;45;7;22.194242459518634
417;75;60;56;52;5;23.89531060555605
433;68;60;56;58;18;24.347787285564266
428;86;51;52;50;9;24.602583833175807
396;64;59;55;68;8;24.83309645160088
429;51;48;48;45;8;20.55970801539243
350;47;49;52;66;18;18.944046235786843
427;63;45;47;66;17;22.80265257048671
447;75;60;63;61;5;24.235966228188254
431;75;56;56;58;10;25.60685986498089
457;69;47;55;47;18;24.43111701480049
430;59;56;56;58;1;22.24054217259609
461;76;63;62;55;11;23.55723493904872
464;63;65;63;52;1;22.980931622346226
442;69;68;55;56;19;24.728075895414392
436;69;69;55;60;10;24.117454106596398
441;75;60;53;50;4;23.411231187200634
427;69;69;49;60;8;24.09599787762253
445;75;56;56;74;4;25.449852205010522
432;76;59;50;53;10;24.48501499818674
443;64;63;55;63;7;23.25499977749157
440;68;65;68;53;10;23.42961820777039
429;69;69;56;43;4;22.682405876383275
450;68;60;50;55;6;24.529453938363012
443;60;59;62;50;10;22.214377206009594
410;64;69;46;58;4;23.301009233138217
424;69;63;55;39;19;24.044864097376326
421;63;60;59;45;5;22.345079569198102
398;86;55;52;41;19;24.922921172423813
403;86;59;44;43;10;24.26533776001622
442;64;59;55;71;5;22.56022981702096
425;75;60;53;71;13;24.918801342638993
408;68;65;56;53;12;25.052738645233433
431;69;55;49;60;7;24.33487539114639
416;76;59;58;68;11;24.505435854272193
419;69;63;59;52;1;24.45109076131877
413;68;65;63;50;8;23.943483229053683
427;77;53;67;56;10;23.62325392181443
408;85;56;50;41;16;24.26627312855853
407;76;59;52;53;8;25.05897956875681
402;75;60;59;68;10;26.258754617918157
429;64;59;52;43;18;23.025835725747726
415;69;59;59;55;10;24.262616831423912
413;75;60;53;55;11;23.164123833929615
431;75;49;56;49;10;23.935788127911167
405;69;68;47;50;19;25.42366842830897
392;69;69;44;52;8;24.98213758668628
410;69;63;50;52;14;24.669191158466273
413;75;56;56;83;1;24.913471232173947
402;64;69;52;45;20;24.614203220957613
