iter	MultiClass
0	1.606110826
1	1.60339897
2	1.599884855
3	1.596595445
4	1.593895973
5	1.590656871
6	1.586330835
7	1.58238405
8	1.57801074
9	1.575644299
10	1.573598883
11	1.571660899
12	1.56602686
13	1.563409403
14	1.559286978
15	1.552689443
16	1.549354604
17	1.546023486
18	1.543864817
19	1.542001861
20	1.538991707
21	1.535829224
22	1.532831374
23	1.52983129
24	1.527343648
25	1.523480429
26	1.52046838
27	1.516884198
28	1.51346718
29	1.511087026
30	1.508099058
31	1.501859705
32	1.497834223
33	1.495774667
34	1.493093386
35	1.490519623
36	1.486917646
37	1.483324602
38	1.481079958
39	1.476412289
40	1.47402195
41	1.471096385
42	1.468478131
43	1.464403131
44	1.461069492
45	1.458661046
46	1.454641232
47	1.449789544
48	1.4467936
49	1.44481947
50	1.441853701
51	1.439779365
52	1.437369514
53	1.434520526
54	1.43286352
55	1.430243053
56	1.428651977
57	1.425829929
58	1.423465512
59	1.421031436
60	1.418573259
61	1.415935671
62	1.412636558
63	1.410067426
64	1.406247827
65	1.403328865
66	1.400861132
67	1.398655376
68	1.396816653
69	1.394514415
70	1.39141978
71	1.389437034
72	1.385533937
73	1.38218982
74	1.380162275
75	1.376874686
76	1.37458535
77	1.372235555
78	1.369622138
79	1.368140095
80	1.365065881
81	1.362465796
82	1.360784012
83	1.357701027
84	1.353829257
85	1.352153941
86	1.350433992
87	1.349138701
88	1.347621113
89	1.346310836
90	1.341819497
91	1.340189791
92	1.336966121
93	1.335197851
94	1.333569967
95	1.331156976
96	1.329471317
97	1.327267375
98	1.325650263
99	1.323706751
100	1.321113041
101	1.31939282
102	1.317321321
103	1.314582015
104	1.312239384
105	1.310605982
106	1.306502564
107	1.304475541
108	1.301624501
109	1.298609765
110	1.296997971
111	1.295065918
112	1.293302237
113	1.290785447
114	1.289321688
115	1.287584465
116	1.285915784
117	1.284239607
118	1.282245717
119	1.280374547
120	1.278732276
121	1.276729094
122	1.275164106
123	1.273928894
124	1.27189309
125	1.267922076
126	1.26572322
127	1.264116366
128	1.263033183
129	1.261052291
130	1.259358407
131	1.257906306
132	1.255794989
133	1.254538511
134	1.252410029
135	1.251068229
136	1.249785221
137	1.248158657
138	1.245276611
139	1.244158316
140	1.242351376
141	1.240835369
142	1.23959175
143	1.237914168
144	1.235857368
145	1.234784069
146	1.232479578
147	1.231680596
148	1.230000521
149	1.228915618
150	1.227746376
151	1.226543914
152	1.224151438
153	1.222805534
154	1.221128969
155	1.219106246
156	1.218183287
157	1.216780396
158	1.21546083
159	1.21392053
160	1.212312237
161	1.210669363
162	1.209200656
163	1.208101343
164	1.206519411
165	1.205341847
166	1.204028562
167	1.202546049
168	1.200829244
169	1.199346184
170	1.198200517
171	1.196823389
172	1.195616928
173	1.194438432
174	1.193101365
175	1.191824345
176	1.190396216
177	1.189420747
178	1.188162243
179	1.186701098
180	1.18542206
181	1.183865735
182	1.182401781
183	1.181030562
184	1.179763464
185	1.178990865
186	1.177724289
187	1.176420239
188	1.174804739
189	1.173657276
190	1.17250635
191	1.170557994
192	1.16964649
193	1.168709494
194	1.167679913
195	1.165681932
196	1.164199479
197	1.163158609
198	1.162070106
199	1.159882591
200	1.158632711
201	1.157502202
202	1.155696854
203	1.154483065
204	1.152430617
205	1.151334292
206	1.149550207
207	1.148523116
208	1.147670359
209	1.146744226
210	1.145548473
211	1.144549305
212	1.14322246
