iter	Passed	Remaining
0	4	4314
1	8	4301
2	12	4108
3	16	4013
4	19	3955
5	24	3991
6	26	3702
7	29	3706
8	33	3714
9	38	3795
10	42	3834
11	46	3828
12	50	3804
13	54	3829
14	58	3842
15	59	3648
16	62	3635
17	66	3633
18	70	3643
19	74	3648
20	78	3637
21	81	3629
22	85	3647
23	89	3640
24	92	3625
25	96	3621
26	100	3623
27	104	3620
28	106	3560
29	109	3550
30	113	3545
31	114	3468
32	118	3479
33	122	3476
34	125	3470
35	127	3426
36	132	3436
37	133	3385
38	137	3384
39	140	3379
40	144	3378
41	148	3382
42	151	3380
43	155	3374
44	158	3369
45	162	3377
46	166	3378
47	168	3347
48	172	3342
49	175	3343
50	180	3354
51	183	3352
52	187	3349
53	190	3345
54	194	3346
55	198	3352
56	202	3348
57	206	3351
58	210	3359
59	214	3358
60	218	3356
61	221	3353
62	225	3355
63	229	3353
64	230	3310
65	233	3307
66	237	3307
67	241	3312
68	245	3312
69	249	3309
70	252	3305
71	256	3309
72	260	3307
73	262	3287
74	266	3284
75	270	3283
76	274	3290
77	278	3289
78	282	3291
79	285	3288
80	290	3294
81	294	3301
82	298	3298
83	301	3282
84	302	3255
85	306	3253
86	309	3252
87	313	3247
88	317	3248
89	321	3249
90	322	3224
91	326	3221
92	330	3221
93	334	3227
94	338	3225
95	342	3223
96	345	3220
97	350	3224
98	354	3224
99	357	3221
100	361	3218
101	365	3219
102	369	3219
103	373	3216
104	376	3213
105	381	3215
106	382	3190
107	386	3190
108	387	3169
109	391	3166
110	395	3166
111	399	3169
112	403	3167
113	405	3154
114	409	3151
115	413	3154
116	417	3151
117	421	3149
118	424	3146
119	429	3148
120	433	3148
121	437	3146
122	441	3145
123	445	3145
124	449	3144
125	449	3120
126	453	3117
127	457	3116
128	461	3117
129	465	3117
130	469	3114
131	473	3115
132	477	3115
133	481	3113
134	485	3109
135	489	3109
136	493	3109
137	497	3108
138	498	3087
139	502	3085
140	506	3087
141	510	3085
142	514	3082
143	518	3082
144	522	3082
145	526	3081
146	530	3079
147	534	3077
148	538	3077
149	542	3075
150	546	3073
151	551	3075
152	553	3065
153	557	3062
154	561	3060
155	565	3058
156	569	3060
157	573	3058
158	577	3055
159	581	3054
160	586	3053
161	589	3050
162	593	3047
163	597	3046
164	601	3045
165	605	3041
166	609	3038
167	613	3039
168	617	3037
169	621	3033
170	625	3031
171	629	3032
172	634	3032
173	638	3029
174	641	3026
175	646	3026
176	650	3024
177	654	3021
178	658	3018
179	662	3017
180	666	3015
181	670	3012
182	672	3001
183	676	3002
184	680	2999
185	684	2996
186	688	2994
187	693	2997
188	697	2994
189	701	2990
190	705	2986
191	709	2985
192	713	2981
193	716	2978
194	720	2975
195	722	2963
196	726	2960
197	730	2958
198	734	2954
199	735	2940
200	739	2938
201	743	2936
202	746	2932
203	750	2929
204	752	2917
205	756	2916
206	761	2915
207	764	2912
208	769	2910
209	772	2907
210	776	2904
211	780	2901
212	784	2898
213	788	2895
214	792	2892
215	796	2889
216	800	2886
217	803	2883
218	807	2880
219	811	2877
220	815	2874
221	819	2871
222	823	2868
223	826	2864
224	831	2862
225	835	2860
226	839	2857
227	842	2853
228	846	2851
229	850	2848
230	854	2844
231	858	2840
232	859	2829
233	864	2828
234	868	2826
235	872	2823
236	874	2816
237	879	2814
238	883	2811
239	887	2808
240	890	2805
241	894	2802
242	898	2800
243	902	2797
244	906	2794
245	911	2792
246	914	2789
247	919	2786
248	922	2783
249	927	2783
250	933	2784
251	938	2784
252	943	2787
253	948	2784
254	953	2784
255	957	2784
256	962	2781
257	966	2778
258	970	2776
259	974	2774
260	979	2772
261	983	2770
262	987	2768
263	991	2765
264	996	2762
265	1000	2759
266	1004	2757
267	1008	2754
268	1012	2750
269	1016	2747
270	1020	2745
271	1025	2743
272	1026	2732
273	1030	2729
274	1034	2726
275	1038	2723
276	1042	2720
277	1046	2717
278	1050	2715
279	1054	2712
280	1058	2709
281	1063	2706
282	1067	2704
283	1071	2701
284	1075	2697
285	1079	2694
286	1083	2692
287	1088	2689
288	1090	2682
289	1094	2679
290	1098	2676
291	1102	2673
292	1106	2670
293	1110	2667
294	1115	2665
295	1119	2662
296	1123	2659
297	1127	2656
298	1132	2654
299	1136	2650
300	1140	2648
301	1145	2646
302	1149	2643
303	1153	2640
304	1157	2637
305	1161	2634
306	1165	2631
307	1169	2627
308	1173	2624
309	1178	2622
310	1182	2620
311	1186	2616
312	1190	2613
313	1195	2610
314	1199	2607
315	1202	2603
316	1207	2600
317	1211	2598
318	1215	2594
319	1219	2591
320	1223	2589
321	1228	2587
322	1232	2584
323	1236	2580
324	1241	2579
325	1245	2575
326	1249	2572
327	1254	2569
328	1258	2566
329	1262	2563
330	1266	2559
331	1270	2556
332	1274	2553
333	1278	2549
334	1282	2546
335	1286	2543
336	1290	2539
337	1294	2535
338	1298	2531
339	1302	2529
340	1306	2525
341	1310	2521
342	1314	2517
343	1318	2514
344	1322	2510
345	1326	2507
346	1330	2503
347	1334	2500
348	1338	2496
349	1342	2492
350	1346	2489
351	1350	2486
352	1354	2482
353	1358	2479
354	1363	2476
355	1367	2473
356	1371	2469
357	1375	2465
358	1378	2462
359	1383	2459
360	1387	2456
361	1391	2453
362	1395	2449
363	1400	2446
364	1404	2442
365	1408	2439
366	1412	2436
367	1416	2433
368	1420	2429
369	1424	2426
370	1429	2423
371	1433	2419
372	1437	2415
373	1438	2407
374	1442	2404
375	1446	2400
376	1450	2397
377	1454	2393
378	1458	2390
379	1462	2386
380	1466	2383
381	1470	2379
382	1474	2375
383	1478	2372
384	1482	2368
385	1486	2364
386	1491	2361
387	1495	2358
388	1499	2355
389	1503	2351
390	1507	2347
391	1511	2344
392	1515	2340
393	1519	2336
394	1523	2333
395	1527	2329
396	1531	2326
397	1535	2322
398	1539	2319
399	1543	2315
400	1547	2311
401	1551	2307
402	1555	2304
403	1559	2300
404	1563	2297
405	1567	2293
406	1572	2290
407	1576	2286
408	1579	2282
409	1584	2279
410	1588	2276
411	1592	2272
412	1596	2268
413	1600	2265
414	1604	2262
415	1608	2258
416	1612	2254
417	1616	2251
418	1620	2247
419	1624	2243
420	1629	2240
421	1634	2238
422	1638	2234
423	1642	2230
424	1646	2227
425	1650	2224
426	1654	2220
427	1658	2216
428	1663	2214
429	1667	2210
430	1671	2207
431	1675	2203
432	1680	2200
433	1684	2197
434	1688	2193
435	1692	2189
436	1697	2186
437	1701	2183
438	1705	2179
439	1709	2175
440	1713	2172
441	1717	2168
442	1721	2164
443	1726	2161
444	1730	2158
445	1734	2154
446	1738	2150
447	1743	2147
448	1746	2143
449	1750	2139
450	1752	2133
451	1757	2130
452	1761	2127
453	1765	2123
454	1769	2119
455	1774	2116
456	1775	2109
457	1779	2105
458	1783	2101
459	1787	2097
460	1789	2092
461	1793	2088
462	1797	2084
463	1800	2080
464	1804	2076
465	1809	2073
466	1813	2069
467	1817	2065
468	1822	2062
469	1825	2059
470	1829	2055
471	1833	2051
472	1838	2048
473	1842	2044
474	1846	2040
475	1850	2037
476	1855	2033
477	1858	2030
478	1862	2026
479	1866	2022
480	1870	2018
481	1875	2015
482	1879	2011
483	1884	2008
484	1887	2004
485	1892	2001
486	1895	1997
487	1901	1995
488	1905	1991
489	1909	1987
490	1913	1984
491	1917	1980
492	1921	1976
493	1925	1972
494	1930	1969
495	1935	1966
496	1939	1963
497	1943	1959
498	1948	1955
499	1952	1952
500	1956	1948
501	1960	1944
502	1961	1937
503	1965	1934
504	1969	1930
505	1973	1926
506	1977	1923
507	1981	1919
508	1985	1915
509	1989	1911
510	1994	1908
511	1998	1904
512	2002	1900
513	2005	1896
514	2010	1893
515	2014	1889
516	2018	1885
517	2022	1881
518	2026	1878
519	2030	1874
520	2034	1870
521	2038	1866
522	2042	1863
523	2046	1859
524	2050	1855
525	2054	1851
526	2059	1848
527	2062	1844
528	2066	1840
529	2071	1836
530	2075	1832
531	2079	1829
532	2083	1825
533	2087	1821
534	2091	1817
535	2095	1814
536	2099	1810
537	2103	1806
538	2108	1802
539	2111	1799
540	2115	1794
541	2120	1791
542	2124	1787
543	2128	1783
544	2131	1779
545	2136	1776
546	2140	1772
547	2143	1768
548	2147	1764
549	2152	1761
550	2156	1757
551	2160	1753
552	2164	1749
553	2168	1745
554	2172	1741
555	2176	1738
556	2181	1734
557	2185	1731
558	2189	1727
559	2193	1723
560	2198	1720
561	2202	1716
562	2206	1712
563	2210	1708
564	2214	1705
565	2219	1701
566	2222	1697
567	2226	1693
568	2231	1690
569	2235	1686
570	2239	1682
571	2243	1678
572	2247	1675
573	2251	1671
574	2255	1666
575	2259	1663
576	2263	1659
577	2267	1655
578	2271	1651
579	2275	1647
580	2280	1644
581	2283	1639
582	2288	1637
583	2294	1634
584	2299	1630
585	2303	1627
586	2308	1624
587	2312	1620
588	2316	1616
589	2320	1612
590	2325	1609
591	2329	1605
592	2333	1601
593	2337	1597
594	2341	1594
595	2345	1590
596	2349	1586
597	2354	1582
598	2358	1578
599	2362	1574
600	2366	1571
601	2371	1567
602	2375	1563
603	2379	1559
604	2383	1555
605	2387	1552
606	2391	1548
607	2395	1544
608	2399	1540
609	2403	1536
610	2408	1533
611	2412	1529
612	2417	1525
613	2421	1522
614	2425	1518
615	2428	1514
616	2433	1510
617	2437	1506
618	2441	1502
619	2445	1499
620	2450	1495
621	2454	1491
622	2458	1487
623	2462	1484
